index,loc,locAKA,locWB,year,water.type,collector,station,lift,net.type,mesh.mm,mesh.in,spec,sample,fl,fl.thawed,wt,wt.thawed,wt.dressed,sex,mat,gonad.wt,gonad.prsrvd,oto.num,finclip,dnatissue,stomach.contents,stomach.prsvred,muscle.frozen,gillarch.frozen,life.hist,use,age,fecundity,egg.diam,lat,long,depthA,depthB,depth,net.len,net.height,wind.dir,wind.spd,temp.water,temp.air,sky,netset.time,netset.date,netlift.time,netlift.date,lake.zone,tag,remarks,edits
185,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,134,600,na,na,na,2545,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1068,,Sample # changed from PPS-06-## to ##
186,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,135,600,na,na,na,2168,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1069,HEAD MISSING,Sample # changed from PPS-06-## to ##
187,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,136,570,na,na,na,2037,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1070,CUT TOO FAR BACK OTOS WRECKED,Sample # changed from PPS-06-## to ##
188,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,137,610,na,na,na,2463,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1071,,Sample # changed from PPS-06-## to ##
189,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,138,610,na,na,na,2286,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1072,,Sample # changed from PPS-06-## to ##
190,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,139,640,na,na,na,2617,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1073,,Sample # changed from PPS-06-## to ##
191,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,140,620,na,na,na,2608,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1074,,Sample # changed from PPS-06-## to ##
192,Naulineavik Lake,,PG008,2006,seawater,Pangnirtung Fish Plant,na,na,na,139.7,5.5,ARCH,141,600,na,na,na,2173,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,02-Aug-06,na,1075,CUT TOO FAR BACK OTOS WRECKED,Sample # changed from PPS-06-## to ##
335,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,1,820,na,na,na,6532,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1219,,
336,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,2,510,na,na,na,2313,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1220,,
337,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,3,620,na,na,na,2631,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1221,,
338,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,4,710,na,na,na,3856,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1222,,
339,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,5,640,na,na,na,3084,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1223,,
340,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,6,610,na,na,na,2313,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1224,,
341,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,7,630,na,na,na,2268,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1225,,
