ID,No.,sex,day,Season,Time ,MP,ABS,ORD,Weight,AC,Age,Rep,Lact,Obs,Mother,Father,Ecto,Num,fleas,nits,SM,other,Total,Endo,NUM,Gram,eim,EIM,str,STR,asc,ASC,Comm
E934,1,2,166,2015,1457,A,205,79,140,1,0,NA,NA,TB,D192,A396,Bab,0,0,0,0,0,0,BAB,0,0.24,29,121,0,0,0,0,NA
E936,1,1,166,2015,1522,A,122,79,120,1,0,NA,NA,TB,D651,C290,Bab,0,11,0,11,0,22,BAB,0,0.16,0,0,0,0,0,0,NA
E937,1,1,166,2015,1522,A,122,79,115,1,0,NA,NA,TB,D651,C290,Bab,0,20,0,1,0,21,BAB,0,0.02,0,0,0,0,0,0,NA
E938,1,1,168,2015,1600,A,99,29,100,1,0,NA,NA,TB,D129,D361,Bab,0,52,0,0,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E938,0,1,171,2015,1600,A,99,29,100,1,0,NA,NA,TB,D129,D361,NA,NA,NA,NA,NA,NA,NA,BAB,4,0.18,12936,71867,0,0,0,0,NA
E939,1,2,168,2015,1600,A,99,29,100,1,0,NA,NA,TB,D129,D361,Bab,1,9,0,2,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E939,0,2,171,2015,1600,A,99,29,100,1,0,NA,NA,TB,D129,D361,NA,NA,NA,NA,NA,NA,NA,BAB,4,0.08,0,0,0,0,0,0,NA
E940,1,1,168,2015,1600,A,99,29,105,1,0,NA,NA,TB,D129,E297,Bab,1,21,0,0,0,21,BAB,1,0.04,560,14000,0,0,0,0,NA
E941,1,1,169,2015,1343,A,88,102,100,1,0,NA,NA,TB,D700,D642,Bab,1,11,0,0,0,11,BAB,1,0.02,106,5300,0,0,0,0,NA
E942,1,2,169,2015,1343,A,88,102,100,1,0,NA,NA,TB,D700,E325,Bab,1,32,0,0,0,32,BAB,1,0.02,0,0,0,0,0,0,NA
E943,1,2,169,2015,1343,A,88,102,110,1,0,NA,NA,TB,D700,D642,Bab,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
