compound,salinity,group,day,methane_mean,methane_sd,staff
hexane,brackish,treatment,116,24,8.27103379270089,Chuck_Norris
toluene,brackish,treatment,116,17.5,11.6357208629289,Willy_Wonka
benzene,fresh,treatment,116,27.4833333333333,13.7144388632322,Chuck_Norris
hexane,fresh,treatment,116,22.2,27.8533660443401,Willy_Wonka
toluene,fresh,treatment,116,13,8.8504237186702,Chuck_Norris
benzene,saline,treatment,116,-4.93333333333333,0.635085296108588,Willy_Wonka
hexane,saline,treatment,116,1.73333333333333,7.60285034268947,Chuck_Norris
toluene,saline,treatment,116,6.93333333333333,5.70730526021987,Willy_Wonka
unamended,brackish,unamended,116,NA,NA,Chuck_Norris
unamended,fresh,unamended,116,NA,NA,Willy_Wonka
unamended,saline,unamended,116,-5.96666666666667,2.26789182575654,Chuck_Norris
unamended,brackish,media_only,137,NA,NA,Willy_Wonka
unamended,fresh,media_only,137,NA,NA,Chuck_Norris
unamended,saline,media_only,137,NA,NA,Willy_Wonka
benzene,brackish,sterile,137,NA,NA,Chuck_Norris
hexane,brackish,sterile,137,NA,NA,Willy_Wonka
toluene,brackish,sterile,137,NA,NA,Chuck_Norris
benzene,fresh,sterile,137,NA,NA,Willy_Wonka
hexane,fresh,sterile,137,NA,NA,Chuck_Norris
toluene,fresh,sterile,137,NA,NA,Willy_Wonka
benzene,saline,sterile,137,NA,NA,Chuck_Norris
hexane,saline,sterile,137,NA,NA,Willy_Wonka
toluene,saline,sterile,137,NA,NA,Chuck_Norris
benzene,brackish,treatment,137,56.2,17.0361380600182,Willy_Wonka
hexane,brackish,treatment,137,51.8666666666667,11.0654115754152,Chuck_Norris
toluene,brackish,treatment,137,25.0333333333333,16.8119996827663,Willy_Wonka
benzene,fresh,treatment,137,28.1333333333333,13.1697886594028,Chuck_Norris
hexane,fresh,treatment,137,26.3,34.7978447608469,Willy_Wonka
toluene,fresh,treatment,137,15.8,10.4732993846256,Chuck_Norris
benzene,saline,treatment,137,-4.03333333333333,0.513160143944688,Willy_Wonka
hexane,saline,treatment,137,4.46666666666667,9.30877722009359,Chuck_Norris
toluene,saline,treatment,137,14.1,4.5133136385587,Willy_Wonka
unamended,brackish,unamended,137,8.1,3.64965751817893,Chuck_Norris
unamended,fresh,unamended,137,NA,NA,Willy_Wonka
unamended,saline,unamended,137,-3.66666666666667,3.9677869566464,Chuck_Norris
unamended,brackish,media_only,151,NA,NA,Willy_Wonka
unamended,fresh,media_only,151,NA,NA,Chuck_Norris
unamended,saline,media_only,151,NA,NA,Willy_Wonka
benzene,brackish,sterile,151,NA,NA,Chuck_Norris
hexane,brackish,sterile,151,NA,NA,Willy_Wonka
toluene,brackish,sterile,151,NA,NA,Chuck_Norris
benzene,fresh,sterile,151,NA,NA,Willy_Wonka
hexane,fresh,sterile,151,NA,NA,Chuck_Norris
toluene,fresh,sterile,151,NA,NA,Willy_Wonka
benzene,saline,sterile,151,NA,NA,Chuck_Norris
hexane,saline,sterile,151,NA,NA,Willy_Wonka
toluene,saline,sterile,151,NA,NA,Chuck_Norris
benzene,brackish,treatment,151,53.8333333333333,16.2561783126703,Willy_Wonka
hexane,brackish,treatment,151,57.0333333333333,10.3519724368515,Chuck_Norris
toluene,brackish,treatment,151,29,19.0549206243427,Willy_Wonka
benzene,fresh,treatment,151,27.6666666666667,12.761008319617,Chuck_Norris
hexane,fresh,treatment,151,25.5666666666667,34.4936709170441,Willy_Wonka
toluene,fresh,treatment,151,15.6333333333333,12.3642967181046,Chuck_Norris
benzene,saline,treatment,151,-6.5,0.519615242270663,Willy_Wonka
hexane,saline,treatment,151,3.56666666666667,9.39272768333743,Chuck_Norris
toluene,saline,treatment,151,13.5,4.85077313425396,Willy_Wonka
unamended,brackish,unamended,151,6.8,4.5902069670114,Chuck_Norris
unamended,fresh,unamended,151,NA,NA,Willy_Wonka
unamended,saline,unamended,151,-4.63333333333333,5.38175931581238,Chuck_Norris
unamended,brackish,media_only,165,NA,NA,Willy_Wonka
unamended,fresh,media_only,165,NA,NA,Chuck_Norris
unamended,saline,media_only,165,NA,NA,Willy_Wonka
benzene,brackish,sterile,165,NA,NA,Chuck_Norris
hexane,brackish,sterile,165,NA,NA,Willy_Wonka
toluene,brackish,sterile,165,NA,NA,Chuck_Norris
benzene,fresh,sterile,165,NA,NA,Willy_Wonka
hexane,fresh,sterile,165,NA,NA,Chuck_Norris
toluene,fresh,sterile,165,NA,NA,Willy_Wonka
benzene,saline,sterile,165,NA,NA,Chuck_Norris
hexane,saline,sterile,165,NA,NA,Willy_Wonka
toluene,saline,sterile,165,NA,NA,Chuck_Norris
benzene,brackish,treatment,165,68.6666666666667,14.2468710014983,Willy_Wonka
hexane,brackish,treatment,165,70.4666666666667,11.2518146684583,Chuck_Norris
toluene,brackish,treatment,165,39.1333333333333,26.2741951985847,Willy_Wonka
benzene,fresh,treatment,165,16,16.588248852727,Chuck_Norris
hexane,fresh,treatment,165,29.9666666666667,41.7595897170139,Willy_Wonka
toluene,fresh,treatment,165,16.6,12.3223374405995,Chuck_Norris
benzene,saline,treatment,165,-5.9,0.9,Willy_Wonka
hexane,saline,treatment,165,4.4,10.3232746742494,Chuck_Norris
toluene,saline,treatment,165,17.8666666666667,3.65011415346607,Willy_Wonka
unamended,brackish,unamended,165,9.23333333333333,6.04345375868247,Chuck_Norris
unamended,fresh,unamended,165,NA,NA,Willy_Wonka
unamended,saline,unamended,165,-2.33333333333333,7.35141709695031,Chuck_Norris
unamended,brackish,media_only,207,NA,NA,Willy_Wonka
unamended,fresh,media_only,207,NA,NA,Chuck_Norris
unamended,saline,media_only,207,NA,NA,Willy_Wonka
benzene,brackish,sterile,207,NA,NA,Chuck_Norris
hexane,brackish,sterile,207,NA,NA,Willy_Wonka
toluene,brackish,sterile,207,NA,NA,Chuck_Norris
benzene,fresh,sterile,207,NA,NA,Willy_Wonka
hexane,fresh,sterile,207,NA,NA,Chuck_Norris
toluene,fresh,sterile,207,NA,NA,Willy_Wonka
benzene,saline,sterile,207,NA,NA,Chuck_Norris
hexane,saline,sterile,207,NA,NA,Willy_Wonka
toluene,saline,sterile,207,NA,NA,Chuck_Norris
benzene,brackish,treatment,207,81.3666666666667,9.57200780052614,Willy_Wonka
hexane,brackish,treatment,207,86.0666666666667,11.2349158133621,Chuck_Norris
