compound,salinity,group,day,methane_mean,methane_sd,staff
toluene,fresh,treatment,62,12.5666666666667,5.00632932729493,Chuck_Norris
benzene,saline,treatment,62,0.5,0.854400374531753,Willy_Wonka
hexane,saline,treatment,62,3.4,3.99499687108764,Chuck_Norris
toluene,saline,treatment,62,6.9,4.57383865041171,Willy_Wonka
unamended,brackish,unamended,62,5.56666666666667,0.960902353693305,Chuck_Norris
unamended,fresh,unamended,62,NA,NA,Willy_Wonka
unamended,saline,unamended,62,-1.23333333333333,1.26622799421484,Chuck_Norris
unamended,brackish,media_only,72,NA,NA,Willy_Wonka
unamended,fresh,media_only,72,NA,NA,Chuck_Norris
unamended,saline,media_only,72,NA,NA,Willy_Wonka
benzene,brackish,sterile,72,NA,NA,Chuck_Norris
hexane,brackish,sterile,72,NA,NA,Willy_Wonka
toluene,brackish,sterile,72,NA,NA,Chuck_Norris
benzene,fresh,sterile,72,NA,NA,Willy_Wonka
hexane,fresh,sterile,72,NA,NA,Chuck_Norris
toluene,fresh,sterile,72,NA,NA,Willy_Wonka
benzene,saline,sterile,72,NA,NA,Chuck_Norris
hexane,saline,sterile,72,NA,NA,Willy_Wonka
toluene,saline,sterile,72,NA,NA,Chuck_Norris
benzene,brackish,treatment,72,31.0333333333333,19.0930179210447,Willy_Wonka
hexane,brackish,treatment,72,9.96666666666667,3.9272551907577,Chuck_Norris
toluene,brackish,treatment,72,20.3333333333333,12.2769431591636,Willy_Wonka
benzene,fresh,treatment,72,25.0333333333333,6.31789785714626,Chuck_Norris
hexane,fresh,treatment,72,22.8666666666667,23.5296267147045,Willy_Wonka
toluene,fresh,treatment,72,13.2666666666667,7.88310429547481,Chuck_Norris
benzene,saline,treatment,72,-5.9,1.3,Willy_Wonka
hexane,saline,treatment,72,0.366666666666667,7.25281554524402,Chuck_Norris
toluene,saline,treatment,72,5.6,6.65507325278993,Willy_Wonka
unamended,brackish,unamended,72,3.83333333333333,0.493288286231625,Chuck_Norris
unamended,fresh,unamended,72,NA,NA,Willy_Wonka
unamended,saline,unamended,72,-8.13333333333333,2.04287379280594,Chuck_Norris
unamended,brackish,media_only,86,NA,NA,Willy_Wonka
unamended,fresh,media_only,86,NA,NA,Chuck_Norris
unamended,saline,media_only,86,NA,NA,Willy_Wonka
benzene,brackish,sterile,86,NA,NA,Chuck_Norris
hexane,brackish,sterile,86,NA,NA,Willy_Wonka
toluene,brackish,sterile,86,NA,NA,Chuck_Norris
benzene,fresh,sterile,86,NA,NA,Willy_Wonka
hexane,fresh,sterile,86,NA,NA,Chuck_Norris
toluene,fresh,sterile,86,NA,NA,Willy_Wonka
benzene,saline,sterile,86,NA,NA,Chuck_Norris
hexane,saline,sterile,86,NA,NA,Willy_Wonka
toluene,saline,sterile,86,NA,NA,Chuck_Norris
benzene,brackish,treatment,86,38.1666666666667,25.8697377901929,Willy_Wonka
hexane,brackish,treatment,86,11.8666666666667,3.78593889720018,Chuck_Norris
toluene,brackish,treatment,86,19.4666666666667,9.49438430512128,Willy_Wonka
benzene,fresh,treatment,86,28.4666666666667,13.3721102797327,Chuck_Norris
hexane,fresh,treatment,86,22.8083333333333,24.4075338437404,Willy_Wonka
toluene,fresh,treatment,86,13.3833333333333,6.4915971327042,Chuck_Norris
benzene,saline,treatment,86,-1.53333333333333,1.05039675043925,Willy_Wonka
hexane,saline,treatment,86,3.13333333333333,6.10928255471404,Chuck_Norris
toluene,saline,treatment,86,7.55,7.92511829564708,Willy_Wonka
unamended,brackish,unamended,86,4.86666666666667,1.17189305541646,Chuck_Norris
unamended,fresh,unamended,86,NA,NA,Willy_Wonka
unamended,saline,unamended,86,-3.3,1.82482875908947,Chuck_Norris
