compound,salinity,group,replicate_number,1,10,62,72,86,102,116,137,151,165,207,242,272,312,358,387,425,466,499,555
benzene,brackish,sterile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,brackish,sterile,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,brackish,sterile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,brackish,treatment,1,31,25.1,25.1,39.3,37,35.9,46.9,59.1,44.1,70,79,91.8,90.2,105.9,108.9,117.2,131.6,146.9,147.4,171
benzene,brackish,treatment,2,24.7,29.9,35.1,44.6,64.6,56.6,61.7,71.6,72.6,82.2,91.9,98.3,97.5,108.8,112.4,123.9,134.2,141,139.4,157.5
benzene,brackish,treatment,3,15.1,14.8,11.5,9.2,12.9,13.3,25.6,37.9,44.8,53.8,73.2,86.4,90.8,102.8,103.4,116.2,124.9,132.8,130.4,152.2
benzene,fresh,sterile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,fresh,sterile,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,fresh,sterile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,fresh,treatment,1,60.6,51.1,21.1,32.25,43.4,43.7,41.9,41.7,39.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,fresh,treatment,2,33.5,24.4,16.9,20.5,17.6,14.9,14.6,15.4,13.9,14.7,16.1,17.3,22.1,23.2,23.2,22.7,23.1,25,25.2,23.2
benzene,fresh,treatment,3,26.9,18.8,20.3,22.35,24.4,24.6,25.95,27.3,30,33.2,44.6,48.7,55.9,67.1,61.8,72,79.1,80,86.6,78.4
benzene,saline,sterile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,saline,sterile,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,saline,sterile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzene,saline,treatment,1,15.8,5.6,0.4,-6.6,-1.5,-6.3,-5.3,-4.6,-6.8,-6.8,-4.5,-2,4.9,7.5,6.5,6,5.1,8,9,5.9
benzene,saline,treatment,2,16.9,6.9,1.4,-4.4,-0.5,-5.5,-4.2,-3.6,-6.8,-5.9,-3.5,0,6.1,9.1,10.1,10.5,11,13.7,15.8,14.1
benzene,saline,treatment,3,15.1,4.7,-0.3,-6.7,-2.6,-6.9,-5.3,-3.9,-5.9,-5,-2.6,1.1,6.4,9.7,9.2,9.4,9.1,11.6,12.8,10
hexane,brackish,sterile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hexane,brackish,sterile,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hexane,brackish,sterile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hexane,brackish,treatment,1,19.2,12.1,7.8,7.6,10.2,14.3,18.4,39.1,45.1,58.1,73.1,83.35,93.6,107.6,112.6,125.3,137.8,149.8,149,175.6
hexane,brackish,treatment,2,20.7,13.5,7.5,7.8,9.2,9.5,20.1,58.7,63.6,73.2,92.2,99.05,105.9,127.3,128.9,140.7,156.3,168.1,171.6,197
hexane,brackish,treatment,3,22.1,15.1,11.6,14.5,16.2,21.3,33.5,57.8,62.4,80.1,92.9,106.1,119.3,117.8,140,148.6,164.2,171.1,178.4,186.9
hexane,fresh,sterile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hexane,fresh,sterile,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hexane,fresh,sterile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hexane,fresh,treatment,1,30.8,19.2,12.5,13.7,12.2,8.9,9.8,9.6,8.1,8.4,10.2,12.9,18,18.6,18.9,19.2,18.8,20.2,21.6,19.8
hexane,fresh,treatment,2,30.6,22.2,30.6,49.6,50.725,51.85,54.1,66.3,65.3,78.1,80,89.6,96.6,102.5,110.05,117.6,130.5,136.8,137.8,164.1
hexane,fresh,treatment,3,17,6.7,5.1,5.3,5.5,1,2.7,3,3.3,3.4,7.3,8.9,16.8,19,18.65,18.3,18.6,20.1,21.7,20.6
hexane,saline,sterile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hexane,saline,sterile,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hexane,saline,sterile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
