year,season,province,park,site,beetle,sex,length,length(mm),width,width(mm),drymass(g),drymass(mg),tarsonemus,trichou,procto,totalmites,total mites p/a,Volume,condition,tarso p/a,tricho p/a,procto p/a
2011,mid,BC,Kootenay,dollyvarden2011,Da36,f,3.2,4.9230769231,1.2,1.8461538462,0.00356,3.56,0,1,0,1,1,70.284899031,-0.227552214,A,P,A
2011,mid,BC,Kootenay,dollyvarden2011,Da37,f,2.5,3.8461538462,1,1.5384615385,0.00217,2.17,4,0,0,4,1,38.131998155,-0.129923266,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da38,f,3.7,5.6923076923,1.4,2.1538461538,0.00632,6.32,1,0,0,1,1,110.61330033,0.6665602429,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da39,m,2.9,4.4615384615,1.1,1.6923076923,0.00287,2.87,0,0,0,0,0,53.522072631,-0.141980956,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da40,m,2.8,4.3076923077,1.1,1.6923076923,0.00244,2.44,5,0,0,5,1,51.676483918,-0.486590489,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da41,f,2.7,4.1538461538,1.1,1.6923076923,0.00232,2.32,1,0,0,1,1,49.830895204,-0.521200023,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da42,f,3.3,5.0769230769,1.2,1.8461538462,0.00491,4.91,0,0,0,0,0,72.481302128,1.0208260736,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da43,m,2.9,4.4615384615,1.1,1.6923076923,0.0028,2.8,1,0,0,1,1,53.522072631,-0.211980956,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da44,f,3,4.6153846154,1.4,2.1538461538,0.00526,5.26,0,0,0,0,0,89.686459723,0.5747893305,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da45,f,2.8,4.3076923077,1.1,1.6923076923,0.00275,2.75,1,0,0,1,1,51.676483918,-0.176590489,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da46,f,3.4,5.2307692308,1.4,2.1538461538,0.00515,5.15,0,0,0,0,0,101.64465437,-0.088484434,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da47,f,3.8,5.8461538462,1.5,2.3076923077,0.00544,5.44,1,0,0,1,1,130.4114338,-1.129446577,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da49,m,2.9,4.4615384615,1.2,1.8461538462,0.00299,2.99,5,0,0,5,1,63.695689755,-0.49268708,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da50,m,3.2,4.9230769231,1.3,2,0.00371,3.71,0,0,0,0,0,82.48713846,-0.642117281,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da51,m,3,4.6153846154,1.1,1.6923076923,0.00314,3.14,0,0,0,0,0,55.367661332,0.0426285787,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da52,m,3,4.6153846154,1.2,1.8461538462,0.00341,3.41,0,0,0,0,0,65.892092837,-0.174308791,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da53,m,3.3,5.0769230769,1.3,2,0.00464,4.64,0,0,0,0,0,85.06486154,0.1686183492,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da54,m,3.2,4.9230769231,1.3,2,0.00422,4.22,1,0,0,1,1,82.48713846,-0.132117281,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da55,m,3.1,4.7692307692,1.3,2,0.00411,4.11,0,0,0,0,0,79.909415381,-0.12285291,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da56,m,3,4.6153846154,1.2,1.8461538462,0.00381,3.81,0,0,0,0,0,65.892092837,0.2256912093,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da57,m,3.3,5.0769230769,1.2,1.8461538462,0.00446,4.46,0,0,0,0,0,72.481302128,0.5708260736,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da58,m,3,4.6153846154,1.2,1.8461538462,0.00355,3.55,1,0,0,1,1,65.892092837,-0.034308791,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da61,m,2.9,4.4615384615,1.2,1.8461538462,0.00366,3.66,0,0,0,0,0,63.695689755,0.1773129205,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da62,m,2.5,3.8461538462,1,1.5384615385,0.00216,2.16,0,0,0,0,0,38.131998155,-0.139923266,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da63,m,3,4.6153846154,1.2,1.8461538462,0.00409,4.09,0,0,0,0,0,65.892092837,0.5056912093,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da64,m,2.8,4.3076923077,1,1.5384615385,0.00245,2.45,0,0,0,0,0,42.707837938,-0.061635166,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Da65,m,2.9,4.4615384615,1.1,1.6923076923,0.00283,2.83,0,0,0,0,0,53.522072631,-0.181980956,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc1,f,3.3,5.0769230769,1.4,2.1538461538,0.00531,5.31,0,0,0,0,0,98.655105705,0.2098340068,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc2,f,3.4,5.2307692308,1.4,2.1538461538,0.00578,5.78,0,0,0,0,0,101.64465437,0.5415155656,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc3,m,3,4.6153846154,1.2,1.8461538462,0.00333,3.33,0,0,0,0,0,65.892092837,-0.254308791,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc4,f,2.6,4,1.1,1.6923076923,0.00249,2.49,3,0,0,3,1,47.985306491,-0.265809557,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc5,f,3.3,5.0769230769,1.3,2,0.00445,4.45,0,0,0,0,0,85.06486154,-0.021381651,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc6,f,3.5,5.3846153846,1.4,2.1538461538,0.00545,5.45,6,1,0,7,1,104.63420303,0.0731971244,P,P,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc7,f,3.2,4.9230769231,1.3,2,0.0045,4.5,1,0,0,1,1,82.48713846,0.1478827195,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc8,m,2.5,3.8461538462,1,1.5384615385,0.00126,1.26,0,0,0,0,0,38.131998155,-1.039923266,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc9,f,3.3,5.0769230769,1.4,2.1538461538,0.00529,5.29,0,0,0,0,0,98.655105705,0.1898340068,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc10,f,3.4,5.2307692308,1.4,2.1538461538,0.00622,6.22,2,0,0,2,1,101.64465437,0.9815155656,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc11,f,2.6,4,1,1.5384615385,0.0025,2.5,1,0,0,1,1,39.657278083,0.1295061005,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc12,f,3.3,5.0769230769,1.3,2,0.00485,4.85,1,0,0,1,1,85.06486154,0.3786183492,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc13,f,3.3,5.0769230769,1.3,2,0.00506,5.06,0,0,0,0,0,85.06486154,0.5886183492,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc14,f,2.9,4.4615384615,1.2,1.8461538462,0.00412,4.12,0,0,0,0,0,63.695689755,0.6373129205,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc15,f,3,4.6153846154,1.2,1.8461538462,0.00355,3.55,2,0,0,2,1,65.892092837,-0.034308791,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc16,f,3.5,5.3846153846,1.5,2.3076923077,0.00731,7.31,0,0,0,0,0,120.11579431,1.2169051967,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc17,f,2.8,4.3076923077,1.1,1.6923076923,0.00275,2.75,1,0,0,1,1,51.676483918,-0.176590489,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc18,f,3,4.6153846154,1.3,2,0.00367,3.67,0,0,0,0,0,77.331692301,-0.44358854,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc19,f,3.3,5.0769230769,1.3,2,0.00462,4.62,8,0,0,8,1,85.06486154,0.1486183492,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc20,f,3.7,5.6923076923,1.5,2.3076923077,0.00716,7.16,0,0,0,0,0,126.97955396,0.749337348,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc21,f,3.3,5.0769230769,1.3,2,0.00388,3.88,0,0,0,0,0,85.06486154,-0.591381651,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc22,f,3.1,4.7692307692,1.3,2,0.005,5,0,0,2,2,1,79.909415381,0.7671470897,A,A,P
2011,mid,BC,Kootenay,dollyvarden2011,Dc23,m,3,4.6153846154,1.2,1.8461538462,0.00379,3.79,0,0,0,0,0,65.892092837,0.2056912093,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc24,f,3.1,4.7692307692,1.2,1.8461538462,0.00408,4.08,0,0,0,0,0,68.088495934,0.3940694974,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc25,m,3.1,4.7692307692,1.2,1.8461538462,0.00396,3.96,0,0,0,0,0,68.088495934,0.2740694974,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc26,m,2.7,4.1538461538,1.1,1.6923076923,0.00306,3.06,0,0,0,0,0,49.830895204,0.2187999768,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc27,m,2.8,4.3076923077,1.1,1.6923076923,0.0028,2.8,0,0,0,0,0,51.676483918,-0.126590489,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc28,m,2.9,4.4615384615,1.2,1.8461538462,0.00312,3.12,0,0,0,0,0,63.695689755,-0.36268708,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc29,m,2.6,4,1,1.5384615385,0.00212,2.12,4,0,0,4,1,39.657278083,-0.250493899,P,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc30,m,3.1,4.7692307692,1.2,1.8461538462,0.00467,4.67,0,0,0,0,0,68.088495934,0.9840694974,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc31,m,2.8,4.3076923077,1.1,1.6923076923,0.0031,3.1,0,0,0,0,0,51.676483918,0.1734095106,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc32,m,2.1,3.2307692308,0.8,1.2307692308,0.00123,1.23,0,0,0,0,0,20.49976223,-0.254126748,A,A,A
2011,mid,BC,Kootenay,dollyvarden2011,Dc33,m,3.2,4.9230769231,1.3,2,0.0043,4.3,0,0,0,0,0,82.48713846,-0.052117281,A,A,A
