target_id,test_stat,pval,qval,rss,sigma_sq,tech_var,mean_obs,var_obs,sigma_sq_pmax,smooth_sigma_sq,final_sigma_sq,degrees_free,site1_qval,CUSH_b,site2_qval,GLEN_b,site3_qval,H22X_b,site4_qval,UPHI_b
TRINITY_GG_53025_c1_g1_i1,26.36988474,2.66E-05,0.041087875,24.77256053,1.303204297,0.000614678,7.991775381,1.303818975,1.303204297,0.127959209,1.303204297,4,1,0.675733241,3.63E-05,2.663986977,0.048329883,2.008362399,0.122606094,1.782813297
TRINITY_GG_53915_c2_g1_i1,32.22139505,1.72E-06,0.020197676,5.815552015,0.30597004,0.000111645,9.254141787,0.306081685,0.30597004,0.13470152,0.30597004,4,1,-0.064743024,8.11E-05,1.346817793,0.999991033,0.526370986,0.999992342,0.498430098
TRINITY_GG_59327_c14_g24_i2,29.89415035,5.14E-06,0.023837221,13.49447324,0.706229438,0.004005996,5.915807519,0.710235434,0.706229438,0.206428607,0.706229438,4,1,-0.836901351,3.46E-08,-2.192104401,0.0152212,-1.491263343,0.060818888,-1.309252039
TRINITY_GG_67723_c9_g1_i2,32.47729687,1.53E-06,0.020197676,109.6616086,5.703457441,0.068206172,3.144633384,5.771663613,5.703457441,0.958889524,5.703457441,4,1,-0.032201855,0.999864566,0.787379609,6.87E-05,-5.074837588,0.999992342,-1.86562528
TRINITY_GG_67816_c17_g1_i2,31.56158667,2.35E-06,0.020197676,15.48657958,0.806663937,0.008419199,5.923332938,0.815083136,0.806663937,0.205825451,0.806663937,4,1,-0.578814112,4.49E-09,-2.350473496,0.866119833,-0.962355753,0.065312493,-1.32918172
TRINITY_GG_73203_c1_g1_i1,33.56329118,9.16E-07,0.018355789,36.8062736,1.926479463,0.010692832,5.169354019,1.937172295,1.926479463,0.293774607,1.926479463,4,1,0.1042814,3.46E-08,3.287854219,0.800547066,1.450622599,0.999992342,0.433844182
TRINITY_GG_82837_c21_g1_i4,28.01220481,1.24E-05,0.03460134,7.792578117,0.409655089,0.000480601,7.955444511,0.41013569,0.409655089,0.128278327,0.409655089,4,1,-0.008405448,5.21E-05,1.404950365,0.999991033,0.699310889,0.999992342,0.136103215
TRINITY_GG_83272_c0_g1_i1,27.87888091,1.32E-05,0.03460134,38.09221392,1.997475079,0.007378285,5.466746971,2.004853364,1.997475079,0.252231636,1.997475079,4,1,0.117230575,3.50E-05,3.191880038,0.999991033,1.306444081,0.999992342,0.244177771
TRINITY_GG_92676_c20_g1_i2,27.49396973,1.58E-05,0.034840085,13.04964906,0.682367692,0.004455943,6.074505826,0.686823635,0.682367692,0.19463484,0.682367692,4,1,-0.395764442,9.17E-06,-1.962814484,0.999991033,-0.262149986,0.515638587,-1.018919695
TRINITY_GG_95240_c4_g1_i1,26.12725988,2.98E-05,0.043417196,194.2625495,10.0980185,0.126326208,5.115683639,10.22434471,10.0980185,0.302269123,10.0980185,4,1,-2.092261151,0.999864566,0.040616919,0.999991033,0.261061723,0.002082503,-6.795683482
TRINITY_GG_96844_c5_g1_i1,26.8457481,2.14E-05,0.03721157,5.634154414,0.295687783,0.00084666,7.17355827,0.296534443,0.295687783,0.142741119,0.295687783,4,1,-0.008046279,0.001282372,1.242137706,0.999991033,0.414702608,0.999992342,0.080113995
TRINITY_GG_97654_c12_g15_i8,26.93682076,2.05E-05,0.03721157,17.73084532,0.829440834,0.103761551,6.536274601,0.933202385,0.829440834,0.167295642,0.829440834,4,1,-0.706130397,4.81E-06,-2.368693789,0.048329883,-1.674359568,0.946059849,-0.944890171
TRINITY_GG_97930_c12_g1_i1,27.02262369,1.97E-05,0.03721157,7.69789456,0.403412351,0.001739995,6.689453843,0.405152345,0.403412351,0.160145019,0.403412351,4,1,-0.138384395,0.000253799,-1.433768002,0.999991033,-0.205548423,0.999992342,-0.014847873
TRINITY_GG_99881_c0_g1_i1,29.16597766,7.23E-06,0.028996551,10.85999087,0.568476473,0.003101994,6.246423407,0.571578467,0.568476473,0.183356955,0.568476473,4,1,-0.561851124,0.001292323,-1.434691089,0.999991033,0.416538962,0.999992342,0.100673184
