compound,salinity,group,replicate_number,day,methane_umoles
benzene,brackish,sterile,2,62,NA
benzene,brackish,sterile,3,62,NA
benzene,brackish,treatment,1,62,25.1
benzene,brackish,treatment,2,62,35.1
benzene,brackish,treatment,3,62,11.5
benzene,fresh,sterile,1,62,NA
benzene,fresh,sterile,2,62,NA
benzene,fresh,sterile,3,62,NA
benzene,fresh,treatment,1,62,21.1
benzene,fresh,treatment,2,62,16.9
benzene,fresh,treatment,3,62,20.3
benzene,saline,sterile,1,62,NA
benzene,saline,sterile,2,62,NA
benzene,saline,sterile,3,62,NA
benzene,saline,treatment,1,62,0.4
benzene,saline,treatment,2,62,1.4
benzene,saline,treatment,3,62,-0.3
hexane,brackish,sterile,1,62,NA
hexane,brackish,sterile,2,62,NA
hexane,brackish,sterile,3,62,NA
hexane,brackish,treatment,1,62,7.8
hexane,brackish,treatment,2,62,7.5
hexane,brackish,treatment,3,62,11.6
hexane,fresh,sterile,1,62,NA
hexane,fresh,sterile,2,62,NA
hexane,fresh,sterile,3,62,NA
hexane,fresh,treatment,1,62,12.5
hexane,fresh,treatment,2,62,30.6
hexane,fresh,treatment,3,62,5.1
hexane,saline,sterile,1,62,NA
hexane,saline,sterile,2,62,NA
hexane,saline,sterile,3,62,NA
hexane,saline,treatment,1,62,7.8
hexane,saline,treatment,2,62,0
hexane,saline,treatment,3,62,2.4
toluene,brackish,sterile,1,62,NA
toluene,brackish,sterile,2,62,NA
toluene,brackish,sterile,3,62,NA
toluene,brackish,treatment,1,62,21.8
toluene,brackish,treatment,2,62,13.4
toluene,brackish,treatment,3,62,11.8
toluene,fresh,sterile,1,62,NA
toluene,fresh,sterile,2,62,NA
toluene,fresh,sterile,3,62,NA
toluene,fresh,treatment,1,62,16.7
toluene,fresh,treatment,2,62,14
toluene,fresh,treatment,3,62,7
toluene,saline,sterile,1,62,NA
toluene,saline,sterile,2,62,NA
toluene,saline,sterile,3,62,NA
toluene,saline,treatment,1,62,5.1
toluene,saline,treatment,2,62,3.5
toluene,saline,treatment,3,62,12.1
unamended,brackish,media_only,1,62,NA
unamended,brackish,media_only,2,62,NA
unamended,brackish,media_only,3,62,NA
unamended,brackish,unamended,1,62,5.4
unamended,brackish,unamended,2,62,6.6
unamended,brackish,unamended,3,62,4.7
unamended,fresh,media_only,1,62,NA
unamended,fresh,media_only,2,62,NA
unamended,fresh,media_only,3,62,NA
unamended,fresh,unamended,1,62,22.7
unamended,fresh,unamended,2,62,NA
unamended,fresh,unamended,3,62,6.3
unamended,saline,media_only,1,62,NA
unamended,saline,media_only,2,62,NA
unamended,saline,media_only,3,62,NA
unamended,saline,unamended,1,62,-1.7
unamended,saline,unamended,2,62,0.2
unamended,saline,unamended,3,62,-2.2
benzene,brackish,sterile,1,72,NA
benzene,brackish,sterile,2,72,NA
benzene,brackish,sterile,3,72,NA
benzene,brackish,treatment,1,72,39.3
benzene,brackish,treatment,2,72,44.6
benzene,brackish,treatment,3,72,9.2
benzene,fresh,sterile,1,72,NA
benzene,fresh,sterile,2,72,NA
benzene,fresh,sterile,3,72,NA
benzene,fresh,treatment,1,72,32.2
benzene,fresh,treatment,2,72,20.5
benzene,fresh,treatment,3,72,22.4
benzene,saline,sterile,1,72,NA
benzene,saline,sterile,2,72,NA
benzene,saline,sterile,3,72,NA
benzene,saline,treatment,1,72,-6.6
benzene,saline,treatment,2,72,-4.4
benzene,saline,treatment,3,72,-6.7
hexane,brackish,sterile,1,72,NA
hexane,brackish,sterile,2,72,NA
hexane,brackish,sterile,3,72,NA
hexane,brackish,treatment,1,72,7.6
hexane,brackish,treatment,2,72,7.8
hexane,brackish,treatment,3,72,14.5
hexane,fresh,sterile,1,72,NA
hexane,fresh,sterile,2,72,NA
hexane,fresh,sterile,3,72,NA
hexane,fresh,treatment,1,72,13.7
hexane,fresh,treatment,2,72,49.6
hexane,fresh,treatment,3,72,5.3
hexane,saline,sterile,1,72,NA
hexane,saline,sterile,2,72,NA
hexane,saline,sterile,3,72,NA
hexane,saline,treatment,1,72,8.4
hexane,saline,treatment,2,72,-5.7
hexane,saline,treatment,3,72,-1.6
toluene,brackish,sterile,1,72,NA
toluene,brackish,sterile,2,72,NA
toluene,brackish,sterile,3,72,NA
toluene,brackish,treatment,1,72,34.5
toluene,brackish,treatment,2,72,13.7
toluene,brackish,treatment,3,72,12.8
toluene,fresh,sterile,1,72,NA
toluene,fresh,sterile,2,72,NA
toluene,fresh,sterile,3,72,NA
toluene,fresh,treatment,1,72,17.1
toluene,fresh,treatment,2,72,18.5
toluene,fresh,treatment,3,72,4.2
toluene,saline,sterile,1,72,NA
toluene,saline,sterile,2,72,NA
toluene,saline,sterile,3,72,NA
toluene,saline,treatment,1,72,3.3
toluene,saline,treatment,2,72,0.4
toluene,saline,treatment,3,72,13.1
unamended,brackish,media_only,1,72,NA
unamended,brackish,media_only,2,72,NA
unamended,brackish,media_only,3,72,NA
unamended,brackish,unamended,1,72,3.5
unamended,brackish,unamended,2,72,3.6
unamended,brackish,unamended,3,72,4.4
unamended,fresh,media_only,1,72,NA
unamended,fresh,media_only,2,72,NA
unamended,fresh,media_only,3,72,NA
unamended,fresh,unamended,1,72,36.2
unamended,fresh,unamended,2,72,NA
unamended,fresh,unamended,3,72,5.6
unamended,saline,media_only,1,72,NA
unamended,saline,media_only,2,72,NA
unamended,saline,media_only,3,72,NA
unamended,saline,unamended,1,72,-9
unamended,saline,unamended,2,72,-5.8
unamended,saline,unamended,3,72,-9.6
benzene,brackish,sterile,1,86,NA
benzene,brackish,sterile,2,86,NA
benzene,brackish,sterile,3,86,NA
benzene,brackish,treatment,1,86,37
benzene,brackish,treatment,2,86,64.6
benzene,brackish,treatment,3,86,12.9
benzene,fresh,sterile,1,86,NA
benzene,fresh,sterile,2,86,NA
benzene,fresh,sterile,3,86,NA
benzene,fresh,treatment,1,86,43.4
benzene,fresh,treatment,2,86,17.6
benzene,fresh,treatment,3,86,24.4
benzene,saline,sterile,1,86,NA
benzene,saline,sterile,2,86,NA
benzene,saline,sterile,3,86,NA
benzene,saline,treatment,1,86,-1.5
benzene,saline,treatment,2,86,-0.5
benzene,saline,treatment,3,86,-2.6
hexane,brackish,sterile,1,86,NA
hexane,brackish,sterile,2,86,NA
hexane,brackish,sterile,3,86,NA
hexane,brackish,treatment,1,86,10.2
hexane,brackish,treatment,2,86,9.2
hexane,brackish,treatment,3,86,16.2
hexane,fresh,sterile,1,86,NA
hexane,fresh,sterile,2,86,NA
hexane,fresh,sterile,3,86,NA
hexane,fresh,treatment,1,86,12.2
hexane,fresh,treatment,2,86,50.7
hexane,fresh,treatment,3,86,5.5
hexane,saline,sterile,1,86,NA
hexane,saline,sterile,2,86,NA
hexane,saline,sterile,3,86,NA
hexane,saline,treatment,1,86,10
hexane,saline,treatment,2,86,-1.7
hexane,saline,treatment,3,86,1.1
toluene,brackish,sterile,1,86,NA
toluene,brackish,sterile,2,86,NA
toluene,brackish,sterile,3,86,NA
toluene,brackish,treatment,1,86,30.4
toluene,brackish,treatment,2,86,14.7
toluene,brackish,treatment,3,86,13.3
toluene,fresh,sterile,1,86,NA
toluene,fresh,sterile,2,86,NA
toluene,fresh,sterile,3,86,NA
toluene,fresh,treatment,1,86,17.5
toluene,fresh,treatment,2,86,16.8
toluene,fresh,treatment,3,86,5.9
toluene,saline,sterile,1,86,NA
toluene,saline,sterile,2,86,NA
toluene,saline,sterile,3,86,NA
toluene,saline,treatment,1,86,6.1
toluene,saline,treatment,2,86,0.4
toluene,saline,treatment,3,86,16.1
unamended,brackish,media_only,1,86,NA
unamended,brackish,media_only,2,86,NA
unamended,brackish,media_only,3,86,NA
unamended,brackish,unamended,1,86,4.4
unamended,brackish,unamended,2,86,6.2
unamended,brackish,unamended,3,86,4
unamended,fresh,media_only,1,86,NA
unamended,fresh,media_only,2,86,NA
unamended,fresh,media_only,3,86,NA
unamended,fresh,unamended,1,86,30.3
unamended,fresh,unamended,2,86,NA
unamended,fresh,unamended,3,86,8.1
unamended,saline,media_only,1,86,NA
unamended,saline,media_only,2,86,NA
unamended,saline,media_only,3,86,NA
unamended,saline,unamended,1,86,-4.2
unamended,saline,unamended,2,86,-1.2
unamended,saline,unamended,3,86,-4.5
benzene,brackish,sterile,1,102,NA
benzene,brackish,sterile,2,102,NA
benzene,brackish,sterile,3,102,NA
benzene,brackish,treatment,1,102,35.9
benzene,brackish,treatment,2,102,56.6
benzene,brackish,treatment,3,102,13.3
benzene,fresh,sterile,1,102,NA
benzene,fresh,sterile,2,102,NA
benzene,fresh,sterile,3,102,NA
benzene,fresh,treatment,1,102,43.7
benzene,fresh,treatment,2,102,14.9
benzene,fresh,treatment,3,102,24.6
benzene,saline,sterile,1,102,NA
