compound,salinity,c_by_s,day,methane
benzene,brackish,benzene_brackish,312,105.8333333
benzene,saline,benzene_saline,312,8.766666667
hexane,fresh,hexane_fresh,312,46.7
hexane,brackish,hexane_brackish,312,117.5666667
hexane,saline,hexane_saline,312,29.03333333
toluene,fresh,toluene_fresh,312,36.56666667
toluene,brackish,toluene_brackish,312,87.46666667
toluene,saline,toluene_saline,312,50.96666667
unamended,brackish,unamended_brackish,312,29.3
unamended,saline,unamended_saline,312,21
benzene,brackish,benzene_brackish,358,108.2333333
benzene,saline,benzene_saline,358,8.6
hexane,fresh,hexane_fresh,358,49.2
hexane,brackish,hexane_brackish,358,127.1666667
hexane,saline,hexane_saline,358,29.86666667
toluene,fresh,toluene_fresh,358,38.33333333
toluene,brackish,toluene_brackish,358,96.26666667
toluene,saline,toluene_saline,358,53.66666667
unamended,brackish,unamended_brackish,358,31.75
unamended,saline,unamended_saline,358,21.2
benzene,brackish,benzene_brackish,387,119.1
benzene,saline,benzene_saline,387,8.633333333
hexane,fresh,hexane_fresh,387,51.7
hexane,brackish,hexane_brackish,387,138.2
hexane,saline,hexane_saline,387,32.53333333
toluene,fresh,toluene_fresh,387,40.8
toluene,brackish,toluene_brackish,387,104.7333333
toluene,saline,toluene_saline,387,54.3
unamended,brackish,unamended_brackish,387,32.53333333
unamended,saline,unamended_saline,387,21.36666667
benzene,brackish,benzene_brackish,425,130.2333333
benzene,saline,benzene_saline,425,8.4
hexane,fresh,hexane_fresh,425,55.96666667
hexane,brackish,hexane_brackish,425,152.7666667
hexane,saline,hexane_saline,425,34.31666667
toluene,fresh,toluene_fresh,425,44.8
toluene,brackish,toluene_brackish,425,113.6666667
toluene,saline,toluene_saline,425,69.16666667
unamended,brackish,unamended_brackish,425,35.1
unamended,saline,unamended_saline,425,24.33333333
benzene,brackish,benzene_brackish,466,140.2333333
benzene,saline,benzene_saline,466,11.1
hexane,fresh,hexane_fresh,466,59.03333333
hexane,brackish,hexane_brackish,466,163
hexane,saline,hexane_saline,466,38.03333333
toluene,fresh,toluene_fresh,466,47.66666667
toluene,brackish,toluene_brackish,466,120.4
toluene,saline,toluene_saline,466,84
unamended,brackish,unamended_brackish,466,37.65
unamended,saline,unamended_saline,466,26.43333333
benzene,brackish,benzene_brackish,499,139.0666667
benzene,saline,benzene_saline,499,12.53333333
hexane,fresh,hexane_fresh,499,60.36666667
hexane,brackish,hexane_brackish,499,166.3333333
hexane,saline,hexane_saline,499,40.8
toluene,fresh,toluene_fresh,499,50.2
toluene,brackish,toluene_brackish,499,131.6
toluene,saline,toluene_saline,499,104.5666667
unamended,brackish,unamended_brackish,499,40.33333333
unamended,saline,unamended_saline,499,29.56666667
benzene,brackish,benzene_brackish,555,160.2333333
benzene,saline,benzene_saline,555,10
hexane,fresh,hexane_fresh,555,68.16666667
hexane,brackish,hexane_brackish,555,186.5
hexane,saline,hexane_saline,555,47.33333333
toluene,fresh,toluene_fresh,555,50.56666667
toluene,brackish,toluene_brackish,555,132.6
toluene,saline,toluene_saline,555,134.8
unamended,brackish,unamended_brackish,555,44.2
unamended,saline,unamended_saline,555,33.16666667
